date	portal	pageviews
2016-03-07	wikipedia	14474773
2016-03-07	wikimedia	115660
2016-03-08	wikipedia	14488104
2016-03-08	wikimedia	118478
2016-03-09	wikipedia	13858670
2016-03-09	wikimedia	108455
2016-03-10	wikipedia	13684805
2016-03-10	wikimedia	114334
2016-03-11	wikipedia	13103415
2016-03-11	wikimedia	108676
2016-03-12	wikipedia	13062199
2016-03-12	wikimedia	105778
2016-03-13	wikipedia	13327203
2016-03-13	wikimedia	110659
2016-03-14	wikipedia	13539246
2016-03-14	wikimedia	117539
2016-03-15	wikipedia	13633840
2016-03-15	wikimedia	113912
2016-03-16	wikipedia	14300151
2016-03-16	wikimedia	111105
2016-03-17	wikipedia	14855709
2016-03-17	wikimedia	109666
2016-03-18	wikipedia	13726909
2016-03-18	wikimedia	108701
2016-03-19	wikipedia	12869269
2016-03-19	wikimedia	108736
2016-03-20	wikipedia	13080253
2016-03-20	wikimedia	116369
2016-03-21	wikipedia	13510548
2016-03-21	wikimedia	111453
2016-03-22	wikipedia	13787450
2016-03-22	wikimedia	111111
2016-03-23	wikipedia	13931924
2016-03-23	wikimedia	108600
2016-03-24	wikipedia	14150269
2016-03-24	wikimedia	103661
2016-03-25	wikipedia	13841214
2016-03-25	wikimedia	101693
2016-03-26	wikipedia	13279281
2016-03-26	wikimedia	94392
2016-03-27	wikipedia	12607991
2016-03-27	wikimedia	94221
2016-03-28	wikipedia	13185811
2016-03-28	wikimedia	105757
2016-03-29	wikipedia	13467863
2016-03-29	wikimedia	115827
2016-03-30	wikipedia	29631135
2016-03-30	wikimedia	112681
2016-03-31	wikipedia	32483074
2016-03-31	wikimedia	109768
2016-04-01	wikipedia	26244501
2016-04-01	wikimedia	107484
2016-04-02	wikipedia	23008765
2016-04-02	wikimedia	101369
2016-04-03	wikipedia	21213219
2016-04-03	wikimedia	102339
2016-04-04	wikipedia	21709440
2016-04-04	wikimedia	115181
